red_id,sede_id,nombre,url
92,CTORO,instagram,https://www.instagram.com/consuladoargtoronto/
93,CURUG,facebook,https://www.facebook.com/ArgEnUruguayana/
94,CURUG,twitter,https://www.twitter.com/CURUGoK
95,CURUG,instagram,https://www.instagram.com/consuladouruguayana
96,CVALP,facebook,https://www.facebook.com/ArgentinaEnValparaiso
97,CVALP,instagram,https://www.instagram.com/argenvalparaiso/
98,CVIGO,facebook,https://www.facebook.com/ArgentinaenVigo
99,CVIGO,instagram,https://www.instagram.com/argenvigo/
100,CVILL,facebook,https://www.facebook.com/ConsuladoArgentinoenVillazon
101,CVILL,twitter,https://www.twitter.com/ArgentinaenVill
102,EALEM,facebook,https://www.facebook.com/ArgEnAlemania/
103,EALEM,instagram,https://www.instagram.com/argindeu/
104,EANGO,facebook,https://www.facebook.com/ArgentinaEnAngola/
105,EANGO,instagram,https://www.instagram.com/embargentinaenangola/
106,EARAB,facebook,https://www.facebook.com/argentinaenarabiasaudita/
107,EARAB,twitter,https://www.twitter.com/ensaudita
108,EARAB,instagram,https://www.instagram.com/arginsaudi/
109,EARGE,twitter,https://www.twitter.com/ARGenArgelia
110,EARGE,instagram,https://www.instagram.com/argenargelia
111,EARGE,facebook,https://www.facebook.com/ArgentinaEnArgelia
112,EARME,instagram,https://www.instagram.com/arginarmenia/
113,EARME,facebook,https://www.facebook.com/ArgentinaEnArmenia
114,EARME,twitter,https://www.twitter.com/ARGinArmenia
115,EASIR,facebook,https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495
116,EAUST,facebook,https://www.facebook.com/ArgentinaEnAustralia/
117,EAUST,twitter,https://www.twitter.com/ARGinAustralia
118,EAZER,facebook,https://www.facebook.com/EmbassyOfArgentina/
119,EAZER,instagram,https://www.instagram.com/embargentinaaz
120,EAZER,twitter,https://www.twitter.com/ARGEnAzer
121,EBANG,instagram,https://www.instagram.com/embargenbgd
122,EBANG,otra,https://www.linkedin.com/showcase/argenbangladesh/
123,EBARB,facebook,https://www.facebook.com/ArgentinaEnBarbados/
124,EBELG,facebook,https://www.facebook.com/ArgentinaEnBelgica/
125,EBELG,instagram,https://www.instagram.com/argenbelgica/
126,EBOLV,twitter,https://www.twitter.com/embaargbolivia
127,EBOLV,facebook,https://www.facebook.com/EmbajadaArgentinaBolivia
128,EBOLV,instagram,https://www.instagram.com/embajada_argentina_en_bolivia/
129,EBRAS,instagram,https://www.instagram.com/embaargenbrasil
130,EBRAS,twitter,https://www.twitter.com/ArgentinaEnBras
131,EBRAS,facebook,https://www.facebook.com/embargbrasil
132,EBULG,facebook,https://www.facebook.com/ArgentinaEnBulgaria/
133,EBULG,youtube,https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow
134,ECANA,facebook,https://www.facebook.com/ArgentinaInCanada
135,ECANA,youtube,https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A
136,ECANA,twitter,https://www.twitter.com/ArginCanada
137,ECANA,instagram,https://www.instagram.com/argentinaincanada/
138,ECANA,otra,https://www.linkedin.com/company/argentinaincanada
139,ECEUR,facebook,https://www.facebook.com/ARGanteUE
140,ECEUR,otra,https://www.linkedin.com/company/arganteue
141,ECEUR,twitter,https://www.twitter.com/ARGanteUE
142,ECEUR,youtube,https://www.youtube.com/@ARGanteUE
