pais,sede_id,red_social,url
Colombia,ECOLO,facebook,https://www.facebook.com/ArgColombia/?ref=bookmarks
Colombia,ECOLO,instagram,https://www.instagram.com/argentinaencolombia
Colombia,ECOLO,twitter,https://www.twitter.com/argcolombia
Costa Rica,ERICA,facebook,https://www.facebook.com/argentinaencostarica/
Costa Rica,ERICA,instagram,https://www.instagram.com/argencostarica/
Cuba,ECUBA,facebook,https://www.facebook.com/ArgentinaEnCubaLaHabana/
Cuba,ECUBA,instagram,https://www.instagram.com/argentinaencuba/
Czechia,ECHES,facebook,https://www.facebook.com/ArgentinaEnRepCheca/
Czechia,ECHES,instagram,https://www.instagram.com/argentinaenpraga
Denmark,EDINA,facebook,https://www.facebook.com/EmbajadadeArgentinaenDinamarca/
Denmark,EDINA,instagram,https://www.instagram.com/argentinaindenmark?igsh=dTI4cDN6NHFpYWM0
Denmark,EDINA,otra,https://www.linkedin.com/company/embajada-de-la-rep-blica-argentina-en-dinamarca
Dominican Republic,EDOMI,facebook,https://www.facebook.com/ArgentinaEnRepublicaDominicana/
Dominican Republic,EDOMI,instagram,https://www.instagram.com/argentinaenrd/
Ecuador,EECUA,facebook,https://www.facebook.com/Argentina-en-Ecuador-772092829594964/?ref=bookmarks
Ecuador,EECUA,instagram,https://www.instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh
Ecuador,EECUA,youtube,https://www.youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng
"Egypt, Arab Rep.",EEGIP,facebook,https://www.facebook.com/ArgentinaenEgipto
"Egypt, Arab Rep.",EEGIP,instagram,https://www.instagram.com/argenegipto/
"Egypt, Arab Rep.",EEGIP,twitter,https://www.twitter.com/ARGenEgipto
El Salvador,ESALV,facebook,https://www.facebook.com/ArgentinaEnElSalvador/
El Salvador,ESALV,instagram,https://www.instagram.com/embargenelsalvador/
El Salvador,ESALV,twitter,https://www.twitter.com/ARGenElSalvador
Ethiopia,EETIO,facebook,https://www.facebook.com/ArgEnEtiopia/
Ethiopia,EETIO,instagram,https://www.instagram.com/embaargenetiopia/
Ethiopia,EETIO,twitter,https://www.twitter.com/arethiopia
Finland,EFINL,facebook,https://www.facebook.com/ArgentinaEnFinlandia/
Finland,EFINL,instagram,https://www.instagram.com/argenfinlandia/
France,EFRAN,facebook,https://www.facebook.com/ArgentinaEnFrancia/
France,EUNES,facebook,https://www.facebook.com/delegation.argentine/
France,EUNES,twitter,https://www.twitter.com/ArgentinaUNESCO
Germany,CBONN,facebook,https://www.facebook.com/ConsuladoArgentinoenBonn
Germany,CBONN,instagram,http://www.instagram.com/argentinaenbonn
