Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,4322.18279373346
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,13117.90954458
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,8571.4101866164
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,29835.7180523654
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6737.84748379638
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3456.78968456253
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,45068.7010930397
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,688.68165957684
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,33509.0127982139
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,30133.304450454
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1011.07332413462
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,41392.0743803078
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,1781.86010011545
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,52821.5114340717
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5888.73667332429
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,44690.9345395117
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,71774.3522353393
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3941.37247887414
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,8071.39777400455
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,49200.8101526146
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,8283.66960652261
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2383.90410483418
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1555.49375806861
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,888.157407441902
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,964.927554218909
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,6677.793435386
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,23400.7278817691
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,11308.2874249451
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,58498.9743142433
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,5758.30876298845
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,41833.1517132825
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,20473.7002190617
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,48708.4624685822
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,50565.4647717265
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,3227.45762509776
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,1173.17370951469
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,21865.4562838641
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1705.75808460999
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,22312.1790289763
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,7964.73675347128
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,6162.30588823383
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1480.94361341054
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1729.91982930792
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4876.30774512252
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1347.74690969092
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,88328.548125887
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2530.12031278204
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,103887.800388081
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,4465.63766853306
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5965.31835077761
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,79960.0961535662
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,52003.7200729997
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,39065.4244365633
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,6839.72502408181
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4466.08314208575
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,33836.1756271617
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,12879.4275257974
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1952.30457929636
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2138.22210211478
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2429.74853452838
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,2177.70114080416
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,22600.4502299468
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,33121.3712885508
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,34075.8490439847
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,10166.928671097
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2066.94979776957
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,3477.72489842684
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,799.194470229642
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,6172.81246940233
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,13554.7684784933
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,10838.827948659
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,1254.2327931358
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,697.171191535478
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,207973.617746758
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3798.89016573011
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,2443.40827649123
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,5819.84086254913
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,916.282970463888
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,12422.7253981593
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,27786.0057829276
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,131407.681364513
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,22675.5786295407
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,67476.5290813306
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,21668.3740927942
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3771.4462890625
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,256580.515122745
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,6799.58594644576
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,508.718427705736
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,12530.3602359683
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,6063.05247657864
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,13826.1306570122
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,6678.34239060448
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,6347.75391928372
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,8624.28400232117
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,1035.86242628411
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,40182.4313854634
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1233.19666209269
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,2797.40730719316
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,12077.3747094687
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,5838.63108083902
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,23785.754590043
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,622.985619320596
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,2120.82318421747
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11182.186568616
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,602.343619809252
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11379.0851923557
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,79326.9076599571
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4187.60500350786
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,33516.363085906
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,638.336080723299
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1596.63696129001
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,2609.44492072931
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,64572.0059558854
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,87497.3289297342
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1382.33055769304
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,12754.1867566585
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,48654.904227478
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,46672.5139916762
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,20972.4830886637
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,15151.4664915358
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1365.16927410976
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,18686.4050961265
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,7887.54185920108
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3804.08274131097
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,15899.4246065324
